1659768236.000000, 1659768236.000000, 1659768236.000000
32.000000, 32.000000, 32.000000
-39,-25,46
-38,-24,44
-42,-26,43
-40,-26,47
-39,-27,47
-41,-26,45
-39,-26,47
-34,-26,50
-37,-25,47
-35,-25,48
-32,-25,51
-30,-25,50
-34,-23,47
-24,-24,55
-27,-24,51
-27,-25,52
-17,-22,58
-21,-23,54
-32,-19,61
-4,-21,77
-13,-20,54
-4,-22,49
0,-24,53
6,-24,55
8,-24,46
-11,-23,42
-15,-20,58
-18,-23,65
-16,-24,59
-23,-23,54
-17,-24,60
-19,-25,62
-22,-26,58
-21,-26,57
-23,-26,57
-22,-25,56
-21,-25,57
-19,-23,55
-19,-23,54
-20,-25,56
-19,-25,59
-21,-25,56
-21,-24,53
-21,-23,54
-18,-22,57
-24,-23,53
-25,-25,54
-17,-22,58
-19,-24,57
-22,-24,54
-19,-25,58
-24,-26,55
-21,-26,58
-25,-25,53
-22,-23,54
-22,-24,54
-18,-23,59
-23,-24,53
-20,-24,55
-19,-23,57
-17,-25,57
-21,-27,57
-20,-27,60
-23,-27,56
-18,-29,59
-20,-27,59
-20,-27,56
-14,-26,58
-14,-26,58
-7,-23,61
0,-21,60
2,-20,55
3,-15,53
7,-6,50
0,-23,55
0,-20,64
-4,-21,60
-1,-23,61
-3,-24,61
1,-21,63
0,-18,59
0,-16,59
-3,-16,58
4,-12,60
0,-15,64
-7,-18,64
-22,-27,60
-20,-17,59
-7,2,49
-9,-2,38
0,1,54
-8,19,44
-6,12,40
-21,3,35
-12,-10,23
-18,-28,25
-15,-13,58
-16,-18,64
-6,-32,73
-9,-27,68
-28,-40,64
19,1,108
-32,16,80
-30,29,102
-32,28,102
-15,-1,93
6,-9,81
8,-1,71
27,17,56
16,24,63
2,32,76
6,25,43
22,22,35
27,17,36
30,19,50
34,23,68
18,17,56
-35,29,60
2,24,67
13,22,63
17,25,42
22,24,49
-16,29,82
37,-16,83
-18,13,50
-8,18,62
-10,12,64
-5,21,68
-1,7,69
-10,38,40
-7,23,48
-8,37,73
-26,6,72
-9,14,65
17,28,23
-33,16,96
-43,-57,108
-41,-12,52
90,81,21
0,73,1
-20,44,60
-11,40,69
3,31,35
2,37,53
4,34,65
15,7,40
18,2,58
-18,28,84
-11,24,78
2,14,66
-3,19,67
-3,15,69
-6,16,73
-9,20,70
-2,15,68
0,8,50
6,13,56
1,20,74
0,23,80
-1,24,88
2,21,82
2,15,82
-18,3,76
-21,-1,66
-11,-19,58
-17,-33,45
-13,-36,40
-4,-41,39
-19,-41,34
0,-41,39
-15,-37,27
-4,-43,27
-25,-32,21
-54,-17,28
-32,3,66
-32,-18,41
-22,-10,23
10,-10,79
8,-1,93
-17,-34,53
-22,-31,49
-27,-22,42
-11,-19,56
-10,-22,61
-10,-22,60
-16,-24,55
-22,-28,57
-19,-27,56
-23,-25,54
-19,-26,57
-21,-25,57
-22,-24,55
-21,-22,56
-18,-24,55
-20,-25,56
-19,-25,55
-18,-24,56
-22,-22,56
-21,-23,54
-19,-24,57
-18,-24,59
-20,-22,56
-18,-25,55
-18,-25,57
-17,-24,57
-21,-24,54
-19,-25,57
-17,-23,60
-18,-20,56
-17,-21,57
-14,-23,60
-14,-20,59
-14,-23,56
-14,-27,59
-12,-22,57
-12,-14,52
-9,-17,55
-12,-16,57
-18,-20,55
-24,-25,58
-21,-30,62
-20,-30,65
-21,-29,61
-13,-21,58
-14,-21,57
-15,-15,58
-17,-19,56
-17,-21,60
-20,-20,58
-16,-23,58
-17,-23,60
-17,-20,60
-17,-18,59
-15,-18,57
-17,-17,59
-20,-18,59
-19,-17,58
-15,-20,60
-15,-18,60
-16,-20,58
-15,-20,60
-15,-20,59
-18,-17,58
-16,-19,58
-17,-19,60
-18,-18,60
-13,-21,61
-13,-21,60
-11,-20,61
-13,-18,59
-10,-20,60
-15,-16,58
-13,-15,59
-11,-16,57
-9,-17,60
-13,-17,60
-14,-17,60
-12,-23,59
-11,-18,61
-9,-20,60
-10,-20,61
-12,-16,59
-12,-17,60
-11,-19,60
-12,-18,60
-13,-17,60
-9,-20,61
-9,-20,63
-14,-23,62
-12,-22,61
-8,-22,60
-11,-15,60
-9,-17,58
-10,-19,59
-10,-17,60
-11,-17,59
-10,-20,61
-10,-18,61
-9,-20,60
-9,-22,59
-9,-20,60
-8,-19,60
-7,-19,60
-10,-17,59
-10,-18,60
-10,-19,60
-11,-20,60
-10,-17,61
-7,-17,61
-8,-20,61
-11,-21,60
-8,-19,60
-9,-20,60
-13,-19,59
-11,-17,59
-9,-21,60
-10,-19,60
-10,-18,60
-9,-21,60
-8,-21,60
-11,-17,59
-10,-18,60
-9,-19,60
-10,-19,61
-11,-18,59
-8,-21,60
-8,-22,61
-10,-23,61
-10,-20,62
-9,-21,61
-11,-20,61
-10,-19,61
-7,-18,61
-7,-21,61
-6,-20,61
-4,-19,60
-3,-20,60
-3,-17,62
-3,-17,58
-4,-16,56
1,-17,61
-2,-16,59
0,-17,59
-1,-20,62
2,-17,65
0,-15,62
0,-9,55
1,-17,52
-6,-8,69
14,-14,75
7,-10,59
-14,-14,48
-26,-15,45
-37,-21,45
-17,-15,53
-28,-7,51
-29,-10,51
-25,-6,49
-24,-16,50
-31,-23,53
-42,-19,42
-26,-30,42
-27,-29,40
-20,-47,43
-21,-72,48
-38,-51,35
-39,-32,24
-33,-28,20
-19,-5,37
-30,12,51
-2,15,68
2,16,94
5,21,94
13,15,85
11,9,80
-5,15,71
-2,28,82
-1,22,78
-1,30,62
8,29,59
26,31,53
23,29,41
17,27,41
14,31,54
17,36,66
12,21,45
6,25,53
-8,27,76
10,13,67
-8,21,65
7,21,64
6,25,57
10,25,58
5,23,63
-1,26,65
1,25,60
1,31,59
14,27,53
11,20,56
9,19,57
3,27,61
6,26,59
6,25,58
7,25,57
4,24,59
4,24,58
9,24,57
9,26,59
1,26,59
3,26,59
13,22,57
4,26,58
7,24,55
0,29,60
1,32,59
-4,34,55
-10,35,55
-13,40,56
-10,35,45
27,25,55
-23,13,65
-21,17,62
58,30,52
43,30,26
-39,31,101
102,-29,48
127,-8,73
0,22,50
14,27,71
29,28,67
2,26,43
5,27,48
-43,36,59
-53,27,59
2,17,54
27,25,59
21,25,60
11,27,59
10,26,58
4,26,63
10,25,69
10,24,67
10,27,60
14,23,60
11,22,62
24,20,67
19,15,63
5,19,62
4,19,61
6,24,68
-1,24,66
0,21,69
4,11,69
10,7,64
5,-1,49
-9,2,45
-27,4,35
-23,7,40
-20,3,39
-3,0,42
1,2,42
-17,15,49
-27,33,66
-12,29,64
-3,20,53
-8,34,71
5,33,81
1,30,70
-4,26,54
-23,33,52
-16,38,52
-14,33,43
-9,31,47
-4,40,65
-2,36,61
-1,33,56
-5,30,44
-5,30,38
-5,42,44
-2,42,57
8,39,57
-22,37,43
-22,41,44
-57,36,23
-91,31,7
-45,31,30
-56,40,19
-47,40,8
-47,41,6
-38,40,15
-53,48,17
-35,43,19
-43,45,9
-46,42,13
-76,48,18
-51,34,20
-31,25,13
-54,31,-4
-39,43,-13
-41,45,1
-69,40,21
-51,43,-4
-56,44,-1
-50,46,11
-47,43,8
-48,41,9
-50,42,7
-46,43,8
-47,44,-2
-45,39,9
-46,44,6
-46,41,7
-51,44,5
-49,42,11
-50,44,7
-50,43,11
-46,43,16
-53,46,13
-46,42,15
-55,37,-16
-55,44,4
-40,45,15
-42,36,-4
-53,42,-3
-51,42,18
-59,38,-18
-59,37,-12
-49,43,19
-57,39,-21
-46,34,-11
-53,30,3
-54,43,-19
-58,43,23
-59,37,-15
-46,35,-20
-56,45,9
-54,44,12
-65,23,-28
-52,17,-21
-40,55,26
-47,45,-3
-37,32,4
